A,B,C,D
4.22979798,11.92100539,59.7,29.08836297
5.452796685,12.00310559,59.9,29.39440285
7.42071022,13.21459351,60.4,29.81022105
9.653602412,14.7916134,60.2,31.14791477
14.07462346,17.44468758,61.9,32.99618284
18.33316153,19.13404767,60.9,34.44990213
22.25276005,21.39449143,61.3,36.07287146
24.6401766,23.74054054,62,38.33138629
27.14619175,25.84923973,62.5,40.11249564
29.63336549,27.77047744,63.2,42.06555109
30.75938956,28.08038075,10,43.99925716
31.31865519,29.84169408,10,45.24951206
32.63666364,34.81624758,10,45.96733794
31.6353471,35.82625735,10,46.71313451
31.09294748,35.45308311,10,47.66908276
31.3796588,36.13334795,10,47.9098841
31.19871923,37.24022346,10,48.30067763
31.48642948,38.73067535,10,50.20987789
31.08508746,39.3989071,10,50.09981147
31.6124031,39.09653994,10,50.77471585
32.70344407,40.82404662,10,50.81809432
34.71183749,33.67988118,10,51.46880537
33.93165961,35.20235628,10,51.34974154
34.94683208,35.77715877,10,51.12484404
36.03267447,34.43353129,10,52.2462176
36.84480747,36.06321839,10,52.59940342
38.96977475,35.9264854,10,53.78988011
40.68568483,35.10193413,10,54.99946903
41.91240333,37.59854457,10,56.35124789
42.88720191,38.63152919,10,58.22882288
45.05776637,40.02358491,10,59.38985737
45.86601517,40.69028156,10,60.71233149
47.13465821,41.13295053,10,61.8951284
47.93518721,42.75854266,10,62.1694558
47.88714025,43.46649345,10,61.91458697
47.67275409,43.10036784,10,61.50098432
46.79029957,44.49933107,10,60.17284465
47.60502633,43.10045895,10,59.41199314
47.570834,42.71173041,10,59.30576517
48.66722357,43.34892051,10,58.48958333
48.73004227,42.06672091,10,59.01025521
50.03718193,42.7734375,61.2,58.7423969
